ID|CODE|TRANSLATION[it]
arpav.ver.presc02.01_V0|01|01 - Prescrizione
arpav.ver.presc02.02_V0|02|02 - Divieto d'uso
arpav.ver.presc02.03_V0|03|03 - Prescrizione e divieto d'uso
arpav.ver.presc02.04_V0|04|04 - Scartato
arpav.ver.presc02.09_V0|09|09 - Altro
