ID|CODE|TRANSLATION[it]
arpav.sa.classec.503x_V0|503x|[503x] - Raccolta E Distrib. Di Acqua
arpav.sa.classec.601a_V0|601a|[601a] - Materie Agric. E Tessili
arpav.sa.classec.601b_V0|601b|[601b] - Prodotti Alimentari E Bevande
arpav.sa.classec.601c_V0|601c|[601c] - Comb.,Minerali,Prod.Chimici
arpav.sa.classec.601d_V0|601d|[601d] - Legname,Materiale Da Costruz.
arpav.sa.classec.601e_V0|601e|[601e] - Macchine, Materiali E Veicoli
arpav.sa.classec.601f_V0|601f|[601f] - Mobili,Elettrodom.,Casalinghi
arpav.sa.classec.601g_V0|601g|[601g] - Tessuti,Abbigl.,Arred.,Cuoio
arpav.sa.classec.601h_V0|601h|[601h] - Prod.Farmaceutci,Profumeria
arpav.sa.classec.601i_V0|601i|[601i] - App.Ottici,Fotograf.,Preziosi
arpav.sa.classec.601l_V0|601l|[601l] - Materiali Vari Da Recupero
arpav.sa.classec.601x_V0|601x|[601x] - Commercio All'ingrosso
arpav.sa.classec.602a_V0|602a|[602a] - Alimentari,Bevande,Tabacchi
arpav.sa.classec.602b_V0|602b|[602b] - Tessuti,Abbigliamento
arpav.sa.classec.602c_V0|602c|[602c] - Arredamento,App. Per La Casa
arpav.sa.classec.602d_V0|602d|[602d] - Autoveicoli,Moto,Natanti
arpav.sa.classec.602e_V0|602e|[602e] - Farmaceutici,Cosmetici,Deters.
arpav.sa.classec.602f_V0|602f|[602f] - Arredam.Uffici E Librerie
arpav.sa.classec.602g_V0|602g|[602g] - Art.Vari, Grandi Magazzini
arpav.sa.classec.602x_V0|602x|[602x] - Commercio Al Minuto
arpav.sa.classec.603x_V0|603x|[603x] - Commercio Ambulante
arpav.sa.classec.604x_V0|604x|[604x] - Rappresentanti,Imp.Conto Terzi
arpav.sa.classec.605x_V0|605x|[605x] - Noleggio Di Beni Mobili
arpav.sa.classec.606x_V0|606x|[606x] - Esercizi Alberghieri,Bar,Rist.
arpav.sa.classec.701x_V0|701x|[701x] - Trasporti Terrestri
