ID|CODE|TRANSLATION[it]
arpav.ver.statoimp05.00_V0|00|0: Regolarmente attivo
arpav.ver.statoimp05.01_V0|01|1: Inattivo
arpav.ver.statoimp05.02_V0|02|2: Escluso dalla sorveglianza
arpav.ver.statoimp05.03_V0|03|3: Demolito
arpav.ver.statoimp05.04_V0|04|4: Utente fallito
arpav.ver.statoimp05.05_V0|05|5: Utente irreperibile
arpav.ver.statoimp05.06_V0|06|6: In custodia giudiziaria
arpav.ver.statoimp05.08_V0|08|8: Passato all'ISPESL
arpav.ver.statoimp05.09_V0|09|9: Att. non sogg. DPR 547/55
arpav.ver.statoimp05.11_V0|11|11: Attività sospesa
arpav.ver.statoimp05.12_V0|12|12: Cessata attività
arpav.ver.statoimp05.13_V0|13|13: Passato altra ARPAV
arpav.ver.statoimp05.14_V0|14|14: Denuncia inviata erroneamente
arpav.ver.statoimp05.15_V0|15|15: Posta in liquidazione
arpav.ver.statoimp05.16_V0|16|16: Reimmatricolato
arpav.ver.statoimp05.7_V0|07|7: Da riattivare
