ID|CODE|TRANSLATION[it]
arpav.sa.settore.01_V0|A|Agricoltura - Fores - Caccia - Pesca
arpav.sa.settore.02_V0|B|Ist. di credito - Assicurazioni
arpav.sa.settore.03_V0|C|Commercio
arpav.sa.settore.04_V0|D|Attivita professionali ed artistiche
arpav.sa.settore.05_V0|E|Edilizia
arpav.sa.settore.06_V0|I|Industria
arpav.sa.settore.07_V0|P|Piccola industria - Artigianato
arpav.sa.settore.08_V0|S|Servizi
arpav.sa.settore.09_V0|T|Trasporti e comunicazioni
