ID|CODE|TRANSLATION[it]
arpav.imp.pressione.comodante.88_V0|88|MESSER ITALIA SPA
arpav.imp.pressione.comodante.89_V0|89|MONTESHELLGAS SPA
arpav.imp.pressione.comodante.90_V0|90|NUOVA MISSILGAS SRL
arpav.imp.pressione.comodante.91_V0|91|PASSUELLO FLLI
arpav.imp.pressione.comodante.92_V0|92|PETROLCAPA SRL
arpav.imp.pressione.comodante.93_V0|93|RIGAS SRL
arpav.imp.pressione.comodante.94_V0|94|RIVOIRA SPA
arpav.imp.pressione.comodante.95_V0|95|SAPIO INDUSTRIE SPA
arpav.imp.pressione.comodante.96_V0|96|SAPIO MULTIGAS
arpav.imp.pressione.comodante.97_V0|97|SAPIO PROD IDROG OSSIG SRL
arpav.imp.pressione.comodante.98_V0|98|SHELL GAS ITALIA SPA
arpav.imp.pressione.comodante.99_V0|99|SIAD SPA
arpav.imp.pressione.comodante.100_V0|100|SICO SPA
arpav.imp.pressione.comodante.101_V0|101|SOC ITAL ACETILENE & DERIVATI
arpav.imp.pressione.comodante.102_V0|102|SOC.OSSIGENO NAPOLI
arpav.imp.pressione.comodante.103_V0|103|SOCOGAS S.P.A.
arpav.imp.pressione.comodante.104_V0|104|SOL SPA
arpav.imp.pressione.comodante.105_V0|105|SOVEGAS SPA
arpav.imp.pressione.comodante.106_V0|106|SVEG SPA
arpav.imp.pressione.comodante.107_V0|107|TIROLGAS SRL
arpav.imp.pressione.comodante.108_V0|108|ULTRAGAS ITAL. SPA
