ID|CODE|TRANSLATION[it]
arpav.imp.riscaldamento.tipogen.01_V0|01|A - AD ELEMENTI DI GHISA
arpav.imp.riscaldamento.tipogen.02_V0|02|F - A TUBI D'ACQUA/FUMO
arpav.imp.riscaldamento.tipogen.03_V0|03|G - SCAMBIATORE
arpav.imp.riscaldamento.tipogen.04_V0|04|H - A CONDENSAZIONE
arpav.imp.riscaldamento.tipogen.05_V0|05|V - ALTRI TIPI
