ID|CODE|TRANSLATION[it]
arpav.imp.riscaldamento.tipocomb.01_V0|01|01 - CARBONFOSSILE COKE
arpav.imp.riscaldamento.tipocomb.02_V0|02|02 - OLIO COMBUSTIBILE
arpav.imp.riscaldamento.tipocomb.03_V0|03|03 - GASOLIO
arpav.imp.riscaldamento.tipocomb.04_V0|04|04 - METANO
arpav.imp.riscaldamento.tipocomb.05_V0|05|05 - GAS DI CITTÀ
arpav.imp.riscaldamento.tipocomb.06_V0|06|06 - G.P.L.
arpav.imp.riscaldamento.tipocomb.09_V0|09|09 - ALTRO
