ID|CODE|TRANSLATION[it]
arpav.imp.ascensori.motore.01_V0|0|TRIFASE 1V
arpav.imp.ascensori.motore.02_V0|1|TRIFASE 2V
arpav.imp.ascensori.motore.03_V0|2|TRIFASE + LIV.
arpav.imp.ascensori.motore.04_V0|3|CC + ARG.
arpav.imp.ascensori.motore.05_V0|4|CC GEARL
arpav.imp.ascensori.motore.06_V0|5|IDRAULICO
arpav.imp.ascensori.motore.07_V0|6|CATENE APP.
arpav.imp.ascensori.motore.08_V0|7|ALTRI TIPI
