ID|CODE|TRANSLATION[it]
arpav.ver.statoimp04.00_V0|00|0: Regolarmente attivo
arpav.ver.statoimp04.01_V0|01|1: Inattivo
arpav.ver.statoimp04.02_V0|02|2: Escluso dalla sorveglianza
arpav.ver.statoimp04.03_V0|03|3: Demolito
arpav.ver.statoimp04.04_V0|04|4: Utente fallito
arpav.ver.statoimp04.05_V0|05|5: Utente irreperibile
arpav.ver.statoimp04.06_V0|06|6: In custodia giudiziaria
arpav.ver.statoimp04.08_V0|08|8: Non soggetto a verifica
arpav.ver.statoimp04.09_V0|09|9: Passato all'ISPESL
arpav.ver.statoimp04.10_V0|10|10: Passato ad altra ARPA
arpav.ver.statoimp04.11_V0|11|11: App. irreperibile
arpav.ver.statoimp04.12_V0|12|12: Uso vietato
arpav.ver.statoimp04.13_V0|13|13: Declassato
arpav.ver.statoimp04.14_V0|14|14: Reimmatr. con matricola ISPESL
arpav.ver.statoimp04.7_V0|07|7: Da riattivare
