#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
25.27.203_V1|[DR_AP]|[dr_ap]|dram - drachm|C|0|1||[SC_AP]|[sc_ap]|3|||08/07/2010 10:38|
25.27.204_V1|[OZ_AP]|[oz_ap]|ounce|C|0|1||[DR_AP]|[dr_ap]|8|||08/07/2010 10:38|
25.27.205_V1|[LB_AP]|[lb_ap]|pound|C|0|1||[OZ_AP]|[oz_ap]|12|||08/07/2010 10:38|
25.27.27_V1|G|g|gram|C|0|1|M||||||08/07/2010 10:38|
25.27.299_V1|[CAR_M]|[car_m]|metric carat|C|0|1||G|g|0.2|||08/07/2010 10:38|
25.27.79_V1|TNE|t|tonne|C|0|1||KG|kg|1e3|||08/07/2010 10:38|
25.27.81_V1|AMU|u|unified atomic mass unit|C|0|1||G|g|1.6605402e-24|||08/07/2010 10:38|
25.27.91_V1|[M_E]|[m_e]|electron mass|C|0|1||g|g|9.1093897e-28|||08/07/2010 10:38|
25.27.92_V1|[M_P]|[m_p]|proton mass|C|0|1||g|g|1.6726231e-24|||08/07/2010 10:38|
25.280_V1|-|procedure defined amount of the major allergen of ragweed.|procedure defined amount of the major allergen of ragweed.|A|0|1|||||||08/07/2010 10:38|
25.280.280_V1|[AMB'A'1'U]|[Amb'a'1'U]|allergen unit for Ambrosia artemisiifolia|C|0|1||1|1|1|||08/07/2010 10:38|
25.281_V1|-|procedure defined amount of a protein substance|procedure defined amount of a protein substance|A|0|1|||||||08/07/2010 10:38|
25.281.281_V1|[PNU]|[PNU]|protein nitrogen unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.282_V1|-|level|level|A|0|1|||||||08/07/2010 10:38|
25.282.282_V1|NEP|Np|neper|C|0|1||LN(1 1)|ln(1 1)||||08/07/2010 10:38|
25.282.283_V1|B|B|bel|C|0|1||LG(1 1)|lg(1 1)||||08/07/2010 10:38|
25.284_V1|-|pressure level|pressure level|A|0|1|||||||08/07/2010 10:38|
25.284.284_V1|B[SPL]|B[SPL]|bel sound pressure|C|0|1||2LG(2 10*-5.PAL)|2lg(2 10*-5.Pa)||||08/07/2010 10:38|
25.285_V1|-|electric potential level|electric potential level|A|0|1|||||||08/07/2010 10:38|
25.285.285_V1|B[V]|B[V]|bel volt|C|0|1||2LG(1 V)|2lg(1 V)||||08/07/2010 10:38|
25.285.286_V1|B[MV]|B[mV]|bel millivolt|C|0|1||2LG(1 MV)|2lg(1 mV)||||08/07/2010 10:38|
25.285.287_V1|B[UV]|B[uV]|bel microvolt|C|0|1||2LG(1 UV)|2lg(1 uV)||||08/07/2010 10:38|
25.285.288_V1|B[10.NV]|B[10.nV]|bel 10 nanovolt|C|0|1||2LG(10 NV)|2lg(10 nV)||||08/07/2010 10:38|
25.289_V1|-|power level|power level|A|0|1|||||||08/07/2010 10:38|
25.289.289_V1|B[W]|B[W]|bel watt|C|0|1||LG(1 W)|lg(1 W)||||08/07/2010 10:38|
25.289.290_V1|B[KW]|B[kW]|bel kilowatt|C|0|1||LG(1 KW)|lg(1 kW)||||08/07/2010 10:38|
25.28_V1|-|plane angle|plane angle|A|0|1|||||||08/07/2010 10:38|
25.28.28_V1|RAD|rad|radian|C|0|1|A||||||08/07/2010 10:38|
25.28.297_V1|CIRC|circ|circle|C|0|1||[PI].RAD|[pi].rad|2|||08/07/2010 10:38|
25.28.61_V1|GON|gon|gon - grade|C|0|1||DEG|deg|0.9|||08/07/2010 10:38|
25.28.62_V1|DEG|deg|degree|C|0|1||[PI].RAD/360|[pi].rad/360|2|||08/07/2010 10:38|
25.28.63_V1|'|'|minute|C|0|1||DEG/60|deg/60|1|||08/07/2010 10:38|
25.28.64_V1|''|''|second|C|0|1||'/60|'/60|1|||08/07/2010 10:38|
25.293_V1|-|action area|action area|A|0|1|||||||08/07/2010 10:38|
25.293.293_V1|BRN|b|barn|C|0|1||FM2|fm2|100|||08/07/2010 10:38|
25.29_V1|-|temperature|temperature|A|0|1|||||||08/07/2010 10:38|
25.29.216_V1|[DEGF]|[degF]|degree Fahrenheit|C|0|1||DEGF(5 K/9)|degf(5 K/9)||||08/07/2010 10:38|
25.29.29_V1|K|K|Kelvin|C|0|1|C||||||08/07/2010 10:38|
25.29.53_V1|CEL|Cel|degree Celsius|C|0|1||CEL(1 K)|cel(1 K)||||08/07/2010 10:38|
25.300_V1|-|mass fraction|mass fraction|A|0|1|||||||08/07/2010 10:38|
25.300.300_V1|[CAR_AU]|[car_Au]|carat of gold alloys|C|0|1||/24|/24|1|||08/07/2010 10:38|
25.302_V1|-|amount of information|amount of information|A|0|1|||||||08/07/2010 10:38|
25.302.302_V1|BIT_S|bit_s|bit|C|0|1||ld(1 1)|ld(1 1)||||08/07/2010 10:38|
25.302.303_V1|BIT|bit|bit|C|0|1||1|1|1|||08/07/2010 10:38|
25.302.304_V1|BY|By|byte|C|0|1||bit|bit|8|||08/07/2010 10:38|
25.305_V1|-|signal transmission rate|signal transmission rate|A|0|1|||||||08/07/2010 10:38|
25.305.305_V1|Bd|Bd|baud|C|0|1||/s|/s|1|||08/07/2010 10:38|
25.30_V1|-|electric charge|electric charge|A|0|1|||||||08/07/2010 10:38|
25.30.30_V1|C|C|Coulomb|C|0|1|Q||||||08/07/2010 10:38|
25.30.90_V1|[E]|[e]|elementary charge|C|0|1||C|C|1.60217733e-19|||08/07/2010 10:38|
25.31_V1|-|luminous intensity|luminous intensity|A|0|1|||||||08/07/2010 10:38|
25.31.31_V1|CD|cd|candela|C|0|1|F||||||08/07/2010 10:38|
25.32_V1|-|number|number|A|0|1|||||||08/07/2010 10:38|
25.32.32_V1|10*|10*|the number ten for arbitrary powers|C|0|1||1|1|10|||08/07/2010 10:38|
25.32.33_V1|10^|10^|the number ten for arbitrary powers|C|0|1||1|1|10|||08/07/2010 10:38|
25.32.34_V1|[PI]|[pi]|the number pi|C|0|1||1|1|3.1415926535897932384626433832795028841971693993751058209749445923|||08/07/2010 10:38|
25.35_V1|-|fraction|fraction|A|0|1|||||||08/07/2010 10:38|
25.35.35_V1|%|%|percent|C|0|1||10*-2|10*-2|1|||08/07/2010 10:38|
25.35.36_V1|[PPTH]|[ppth]|parts per thousand|C|0|1||10*-3|10*-3|1|||08/07/2010 10:38|
25.35.37_V1|[PPM]|[ppm]|parts per million|C|0|1||10*-6|10*-6|1|||08/07/2010 10:38|
25.35.38_V1|[PPB]|[ppb]|parts per billion|C|0|1||10*-9|10*-9|1|||08/07/2010 10:38|
25.35.39_V1|[PPTR]|[pptr]|parts per trillion|C|0|1||10*-12|10*-12|1|||08/07/2010 10:38|
25.40_V1|-|amount of substance|amount of substance|A|0|1|||||||08/07/2010 10:38|
25.40.248_V1|EQ|eq|equivalents|C|0|1||MOL|mol|1|||08/07/2010 10:38|
25.40.40_V1|MOL|mol|mole|C|0|1||10*23|10*23|6.0221367|||08/07/2010 10:38|
25.41_V1|-|solid angle|solid angle|A|0|1|||||||08/07/2010 10:38|
25.41.298_V1|SPH|sph|spere|C|0|1||[PI].SR|[pi].sr|4|||08/07/2010 10:38|
25.41.41_V1|SR|sr|steradian|C|0|1||RAD2|rad2|1|||08/07/2010 10:38|
25.42_V1|-|frequency|frequency|A|0|1|||||||08/07/2010 10:38|
25.42.42_V1|HZ|Hz|Hertz|C|0|1||S-1|s-1|1|||08/07/2010 10:38|
25.43_V1|-|force|force|A|0|1|||||||08/07/2010 10:38|
25.43.101_V1|DYN|dyn|dyne|C|0|1||G.CM/S2|g.cm/s2|1|||08/07/2010 10:38|
25.43.43_V1|N|N|Newton|C|0|1||KG.M/S2|kg.m/s2|1|||08/07/2010 10:38|
25.43.97_V1|GF|gf|gram-force|C|0|1||G.[G]|g.[g]|1|||08/07/2010 10:38|
25.43.98_V1|[LBF_AV]|[lbf_av]|pound force|C|0|1||[LB_AV].[G]|[lb_av].[g]|1|||08/07/2010 10:38|
25.44_V1|-|pressure|pressure|A|0|1|||||||08/07/2010 10:38|
25.44.232_V1|M[H2O]|m[H2O]|meter of water column|C|0|1||KPAL|kPa|9.80665|||08/07/2010 10:38|
25.44.233_V1|M[HG]|m[Hg]|meter of mercury column|C|0|1||KPAL|kPa|133.3220|||08/07/2010 10:38|
25.44.234_V1|[IN_I'H2O]|[in_i'H2O]|inch of water column|C|0|1||M[H2O].[IN_I]/M|m[H2O].[in_i]/m|1|||08/07/2010 10:38|
25.44.235_V1|[IN_i'HG]|[in_i'Hg]|inch of mercury column|C|0|1||M[HG].[IN_I]/M|m[Hg].[in_i]/m|1|||08/07/2010 10:38|
25.44.294_V1|ATT|att|technical atmosphere|C|0|1||KGF/CM2|kgf/cm2|1|||08/07/2010 10:38|
25.44.296_V1|[PSI]|[psi]|pound per sqare inch|C|0|1||[LBF_AV]/[IN_I]2|[lbf_av]/[in_i]2|1|||08/07/2010 10:38|
25.44.44_V1|PAL|Pa|Pascal|C|0|1||N/M2|N/m2|1|||08/07/2010 10:38|
25.44.80_V1|BAR|bar|bar|C|0|1||PAL|Pa|1e5|||08/07/2010 10:38|
25.44.95_V1|ATM|atm|standard atmosphere|C|0|1||KPAL|Pa|101325|||08/07/2010 10:38|
25.45_V1|-|energy|energy|A|0|1|||||||08/07/2010 10:38|
25.45.102_V1|ERG|erg|erg|C|0|1||DYN.CM|dyn.cm|1|||08/07/2010 10:38|
25.45.217_V1|CAL_[15]|cal_[15]|calorie at 15Ã?Â Ã?Â°C|C|0|1||J|J|4.18580|||08/07/2010 10:38|
25.45.218_V1|CAL_[20]|cal_[20]|calorie at 20Ã?Â Ã?Â°C|C|0|1||J|J|4.18190|||08/07/2010 10:38|
25.45.219_V1|CAL_M|cal_m|mean calorie|C|0|1||J|J|4.19002|||08/07/2010 10:38|
25.45.220_V1|CAL_IT|cal_IT|international table calorie|C|0|1||J|J|4.1868|||08/07/2010 10:38|
25.45.221_V1|CAL_TH|cal_th|thermochemical calorie|C|0|1||J|J|4.184|||08/07/2010 10:38|
25.45.222_V1|CAL|cal|calorie|C|0|1||CAL_TH|cal_th|1|||08/07/2010 10:38|
25.45.223_V1|[CAL]|[Cal]|nutrition label Calories|C|0|1||KCAL_TH|kcal_th|1|||08/07/2010 10:38|
25.45.224_V1|[BTU_39]|[Btu_39]|British thermal unit at 39Ã?Â Ã?Â°F|C|0|1||kJ|kJ|1.05967|||08/07/2010 10:38|
25.45.225_V1|[BTU_59]|[Btu_59]|British thermal unit at 59Ã?Â Ã?Â°F|C|0|1||kJ|kJ|1.05480|||08/07/2010 10:38|
25.45.226_V1|[BTU_60]|[Btu_60]|British thermal unit at 60Ã?Â Ã?Â°F|C|0|1||kJ|kJ|1.05468|||08/07/2010 10:38|
25.45.227_V1|[BTU_M]|[Btu_m]|mean British thermal unit|C|0|1||kJ|kJ|1.05587|||08/07/2010 10:38|
25.45.228_V1|[BTU_IT]|[Btu_IT]|international table British thermal unit|C|0|1||kJ|kJ|1.05505585262|||08/07/2010 10:38|
25.45.229_V1|[BTU_TH]|[Btu_th]|thermochemical British thermal unit|C|0|1||kJ|kJ|1.054350|||08/07/2010 10:38|
25.45.230_V1|[BTU]|[Btu]|British thermal unit|C|0|1||[BTU_TH]|[Btu_th]|1|||08/07/2010 10:38|
25.45.45_V1|J|J|Joule|C|0|1||N.M|N.m|1|||08/07/2010 10:38|
25.45.82_V1|EV|eV|electronvolt|C|0|1||[E].V|[e].V|1|||08/07/2010 10:38|
25.46_V1|-|power|power|A|0|1|||||||08/07/2010 10:38|
25.46.231_V1|[HP]|[HP]|horsepower|C|0|1||[FT_I].[LBF_AV]/S|[ft_i].[lbf_av]/s|550|||08/07/2010 10:38|
25.46.46_V1|W|W|Watt|C|0|1||J/S|J/s|1|||08/07/2010 10:38|
25.47_V1|-|electric current|electric current|A|0|1|||||||08/07/2010 10:38|
25.47.104_V1|BI|Bi|Biot|C|0|1||A|A|10|||08/07/2010 10:38|
25.47.47_V1|A|A|Ampère|C|0|1||C/S|C/s|1|||08/07/2010 10:38|
25.48_V1|-|electric potential|electric potential|A|0|1|||||||08/07/2010 10:38|
25.48.48_V1|V|V|Volt|C|0|1||J/C|J/C|1|||08/07/2010 10:38|
25.49_V1|-|electric capacitance|electric capacitance|A|0|1|||||||08/07/2010 10:38|
25.49.49_V1|F|F|Farad|C|0|1||C/V|C/V|1|||08/07/2010 10:38|
25.50_V1|-|electric resistance|electric resistance|A|0|1|||||||08/07/2010 10:38|
25.50.50_V1|OHM|Ohm|Ohm|C|0|1||V/A|V/A|1|||08/07/2010 10:38|
25.51_V1|-|electric conductance|electric conductance|A|0|1|||||||08/07/2010 10:38|
25.51.295_V1|MHO|mho|mho|C|0|1||S|S|1|||08/07/2010 10:38|
25.51.51_V1|SIE|A|Siemens|C|0|1||OHM-1|Ohm-1|1|||08/07/2010 10:38|
25.52_V1|-|magentic flux|magentic flux|A|0|1|||||||08/07/2010 10:38|
25.52.52_V1|WB|Wb|Weber|C|0|1||V.S|V.s|1|||08/07/2010 10:38|
25.54_V1|-|magnetic flux density|magnetic flux density|A|0|1|||||||08/07/2010 10:38|
25.54.107_V1|GS|G|Gauss|C|0|1||T|T|1e-4|||08/07/2010 10:38|
25.54.54_V1|T|T|Tesla|C|0|1||WB/M2|Wb/m2|1|||08/07/2010 10:38|
25.55_V1|-|inductance|inductance|A|0|1|||||||08/07/2010 10:38|
25.55.55_V1|H|H|Henry|C|0|1||WB/A|Wb/A|1|||08/07/2010 10:38|
25.56_V1|-|luminous flux|luminous flux|A|0|1|||||||08/07/2010 10:38|
25.56.56_V1|LM|lm|lumen|C|0|1||CD.SR|cd.sr|1|||08/07/2010 10:38|
25.57_V1|-|illuminance|illuminance|A|0|1|||||||08/07/2010 10:38|
25.57.112_V1|PHT|ph|phot|C|0|1||LX|lx|1e-4|||08/07/2010 10:38|
25.57.57_V1|LX|lx|lux|C|0|1||LM/M2|lm/m2|1|||08/07/2010 10:38|
25.58_V1|-|radioactivity|radioactivity|A|0|1|||||||08/07/2010 10:38|
25.58.113_V1|CI|Ci|Curie|C|0|1||BQ|Bq|3.7e10|||08/07/2010 10:38|
25.58.58_V1|BQ|Bq|Becquerel|C|0|1||S-1|s-1|1|||08/07/2010 10:38|
25.59_V1|-|energy dose|energy dose|A|0|1|||||||08/07/2010 10:38|
25.59.115_V1|[RAD]|RAD|radiation absorbed dose|C|0|1||ERG/G|erg/g|100|||08/07/2010 10:38|
25.59.59_V1|GY|Gy|Gray|C|0|1||J/KG|J/kg|1|||08/07/2010 10:38|
25.60_V1|-|dose equivalent|dose equivalent|A|0|1|||||||08/07/2010 10:38|
25.60.116_V1|[REM]|REM|radiation equivalent man|C|0|1||[RAD]|RAD|1|||08/07/2010 10:38|
25.60.60_V1|SV|Sv|Sievert|C|0|1||J/KG|J/kg|1|||08/07/2010 10:38|
25.65_V1|-|volume|volume|A|0|1|||||||08/07/2010 10:38|
25.65.127_V1|[CIN_I]|[cin_i]|cubic inch|C|0|1||[IN_I]3|[in_i]3|1|||08/07/2010 10:38|
25.65.128_V1|[CFT_I]|[cft_i]|cubic foot|C|0|1||[FT_I]3|[ft_i]3|1|||08/07/2010 10:38|
25.65.129_V1|[CYD_I]|[cyd_i]|cubic yard|C|0|1||[YD_I]3|[yd_i]3|1|||08/07/2010 10:38|
25.65.130_V1|[BF_I]|[bf_i]|board foot|C|0|1||[IN_I]3|[in_i]3|144|||08/07/2010 10:38|
25.65.131_V1|[CR_I]|[cr_i]|cord|C|0|1||[FT_I]3|[ft_i]3|128|||08/07/2010 10:38|
25.65.178_V1|[TBS_US]|[tbs_us]|tablespoon|C|0|1||[FOZ_US]/2|[foz_us]/2|1|||08/07/2010 10:38|
25.65.179_V1|[TSP_US]|[tsp_us]|teaspoon|C|0|1||[TBS_US]/3|[tbs_us]/3|1|||08/07/2010 10:38|
25.65.180_V1|[CUP_US]|[cup_us]|cup|C|0|1||[TBS_US]|[tbs_us]|16|||08/07/2010 10:38|
25.65.181_V1|[GAL_BR]|[gal_br]|gallon|C|0|1||L|l|4.54609|||08/07/2010 10:38|
25.65.182_V1|[PK_BR]|[pk_br]|peck|C|0|1||[GAL_BR]|[gal_br]|2|||08/07/2010 10:38|
25.65.183_V1|[BU_BR]|[bu_br]|bushel|C|0|1||[PK_BR]|[pk_br]|4|||08/07/2010 10:38|
25.65.184_V1|[QT_BR]|[qt_br]|quart|C|0|1||[GAL_BR]/4|[gal_br]/4|1|||08/07/2010 10:38|
25.65.185_V1|[PT_BR]|[pt_br]|pint|C|0|1||[QT_BR]/2|[qt_br]/2|1|||08/07/2010 10:38|
25.65.186_V1|[GIL_BR]|[gil_br]|gill|C|0|1||[PT_BR]/4|[pt_br]/4|1|||08/07/2010 10:38|
25.65.187_V1|[FOZ_BR]|[foz_br]|fluid ounce|C|0|1||[GIL_BR]/5|[gil_br]/5|1|||08/07/2010 10:38|
25.65.188_V1|[FDR_BR]|[fdr_br]|fluid dram|C|0|1||[FOZ_BR]/8|[foz_br]/8|1|||08/07/2010 10:38|
25.65.189_V1|[MIN_BR]|[min_br]|minim|C|0|1||[FDR_BR]/60|[fdr_br]/60|1|||08/07/2010 10:38|
25.65.243_V1|[DRP]|[drp]|drop|C|0|1||ML/12|ml/12|1|||08/07/2010 10:38|
25.65.291_V1|STR|st|stere|C|0|1||M3|m3|1|||08/07/2010 10:38|
25.65.65_V1|L|l|liter|C|0|1||DM3|dm3|1|||08/07/2010 10:38|
25.66_V1|-|area|area|A|0|1|||||||08/07/2010 10:38|
25.66.124_V1|[SIN_I]|[sin_i]|square inch|C|0|1||[IN_I]2|[in_i]2|1|||08/07/2010 10:38|
25.66.125_V1|[SFT_I]|[sft_i]|square foot|C|0|1||[FT_I]2|[ft_i]2|1|||08/07/2010 10:38|
25.66.126_V1|[SYD_I]|[syd_i]|square yard|C|0|1||[YD_I]2|[yd_i]2|1|||08/07/2010 10:38|
25.66.133_V1|[CML_I]|[cml_i]|circular mil|C|0|1||[PI]/4.[MIL_I]2|[pi]/4.[mil_i]2|1|||08/07/2010 10:38|
25.66.146_V1|[ACR_US]|[acr_us]|acre|C|0|1||[RD_US]2|[rd_us]2|160|||08/07/2010 10:38|
25.66.147_V1|[SRD_US]|[srd_us]|square rod|C|0|1||[RD_US]2|[rd_us]2|1|||08/07/2010 10:38|
25.66.148_V1|[SMI_US]|[smi_us]|square mile|C|0|1||[MI_US]2|[mi_us]2|1|||08/07/2010 10:38|
25.66.149_V1|[SCT]|[sct]|section|C|0|1||[MI_US]2|[mi_us]2|1|||08/07/2010 10:38|
25.66.150_V1|[TWP]|[twp]|township|C|0|1||[SCT]|[sct]|36|||08/07/2010 10:38|
25.66.163_V1|[ACR_BR]|[acr_br]|acre|C|0|1||[YD_BR]2|[yd_br]2|4840|||08/07/2010 10:38|
25.66.66_V1|AR|ar|are|C|0|1||M2|m2|100|||08/07/2010 10:38|
25.85_V1|-|velocity|velocity|A|0|1|||||||08/07/2010 10:38|
25.85.123_V1|[KN_I]|[kn_i]|knot|C|0|1||[NMI_I]/H|[nmi_i]/h|1|||08/07/2010 10:38|
25.85.162_V1|[KN_BR]|[kn_br]|knot|C|0|1||[NMI_BR]/H|[nmi_br]/h|1|||08/07/2010 10:38|
25.85.85_V1|[C]|[c]|velocity of light|C|0|1||M/S|m/s|299792458|||08/07/2010 10:38|
25.86_V1|-|action|action|A|0|1|||||||08/07/2010 10:38|
25.86.86_V1|[H]|[h]|Planck constant|C|0|1||J.S|J.s|6.6260755e-24|||08/07/2010 10:38|
25.87_V1|-|(unclassified)|(unclassified)|A|0|1|||||||08/07/2010 10:38|
25.87.87_V1|[K]|[k]|Boltzmann constant|C|0|1||J/K|J/K|1.380658e-23|||08/07/2010 10:38|
25.87.93_V1|[GC]|[G]|Newtonian constant of gravitation|C|0|1||M3.KG-1.S-2|m3.kg-1.s-2|6.67259e-11|||08/07/2010 10:38|
25.88_V1|-|electric permittivity|electric permittivity|A|0|1|||||||08/07/2010 10:38|
25.88.88_V1|[eps_0]|[eps_0]|permittivity of vacuum|C|0|1||F/M|F/m|8.854187817e-12|||08/07/2010 10:38|
25.89_V1|-|magnetic permeability|magnetic permeability|A|0|1|||||||08/07/2010 10:38|
25.89.89_V1|[mu_0]|[mu_0]|permeability of vacuum|C|0|1||4.[PI].10*-7.N/A2|4.[pi].10*-7.N/A2|1|||08/07/2010 10:38|
25.94_V1|-|acceleration|acceleration|A|0|1|||||||08/07/2010 10:38|
25.94.100_V1|GL|Gal|Gal|C|0|1||CM/S2|cm/s2|1|||08/07/2010 10:38|
25.94.94_V1|[G]|[g]|standard acceleration of free fall|C|0|1||M/S|m/s2|9.80665|||08/07/2010 10:38|
25.99_V1|-|lineic number|lineic number|A|0|1|||||||08/07/2010 10:38|
25.99.241_V1|[MESH_I]|[mesh_i]|mesh|C|0|1||/[IN_I]|/[in_i]|1|||08/07/2010 10:38|
25.99.99_V1|KY|Ky|Kayser|C|0|1||CM-1|cm-1|1|||08/07/2010 10:38|
