#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
25.173.173_V1|[BU_US]|[bu_us]|bushel|C|0|1||[IN_I]3|[in_i]3|2150.42|||08/07/2010 10:38|
25.173.174_V1|[GAL_WI]|[gal_wi]|historical winchester gallon|C|0|1||[BU_US]/8|[bu_us]/8|1|||08/07/2010 10:38|
25.173.175_V1|[PK_US]|[pk_us]|peck|C|0|1||[BU_US]/4|[bu_us]/4|1|||08/07/2010 10:38|
25.173.176_V1|[DQT_US]|[dqt_us]|dry quart|C|0|1||[PK_US]/8|[pk_us]/8|1|||08/07/2010 10:38|
25.173.177_V1|[DPT_US]|[dpt_us]|dry pint|C|0|1||[DQT_US]/2|[dqt_us]/2|1|||08/07/2010 10:38|
25.236_V1|-|fluid resistance|fluid resistance|A|0|1|||||||08/07/2010 10:38|
25.236.236_V1|[PRU]|[PRU]|peripheral vascular resistance unit|C|0|1||MM[HG].S/ML|mm[Hg].s/ml|1|||08/07/2010 10:38|
25.236.237_V1|[WOOD'U]|[wood'U]|Wood unit|C|0|1||MM[HG].MIN/L|mm[Hg].min/L|1|||08/07/2010 10:38|
25.238_V1|-|refraction of a lens|refraction of a lens|A|0|1|||||||08/07/2010 10:38|
25.238.238_V1|[DIOP]|[diop]|diopter|C|0|1||/M|/m|1|||08/07/2010 10:38|
25.239_V1|-|refraction of a prism|refraction of a prism|A|0|1|||||||08/07/2010 10:38|
25.239.239_V1|[P'DIOP]|[p'diop]|prism diopter|C|0|1||100TAN(1 RAD)|100tan(1 rad)||||08/07/2010 10:38|
25.240_V1|-|slope|slope|A|0|1|||||||08/07/2010 10:38|
25.240.240_V1|%[SLOPE]|%[slope]|percent of slope|C|0|1||100TAN(1 RAD)|100tan(1 rad)||||08/07/2010 10:38|
25.242_V1|-|gauge of catheters|gauge of catheters|A|0|1|||||||08/07/2010 10:38|
25.242.242_V1|[CH]|[Ch]|Charrière - french|C|0|1||MM/[PI]|mm/[pi]|1|||08/07/2010 10:38|
25.244_V1|-|x-ray attenuation|x-ray attenuation|A|0|1|||||||08/07/2010 10:38|
25.244.244_V1|[HNSF'U]|[hnsf'U]|Hounsfield unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.245_V1|-|metabolic cost of physical activity|metabolic cost of physical activity|A|0|1|||||||08/07/2010 10:38|
25.245.245_V1|[MET]|[MET]|metabolic equivalent|C|0|1||ML/MIN/KG|mL/min/kg|3.5|||08/07/2010 10:38|
25.246_V1|-|homeopathic potency|homeopathic potency|A|0|1|||||||08/07/2010 10:38|
25.246.246_V1|[HP_X]|[hp_X]|homeopathic potency of decimal series|C|0|1||HPX(1 1)|hpX(1 1)||||08/07/2010 10:38|
25.246.247_V1|[HP_C]|[hp_C]|homeopathic potency of centesimal series|C|0|1||hpc(1 1)|hpC(1 1)||||08/07/2010 10:38|
25.249_V1|-|amount of substance (dissolved particles)|amount of substance (dissolved particles)|A|0|1|||||||08/07/2010 10:38|
